Date,Dish_Name,Quantity_Sold
5/4/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/4/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/4/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/4/2025,Garlic flavor - Jiangtuan,8
5/4/2025,Garlic flavor - Sea bass,11
5/4/2025,Garlic flavor - Qian fish,37
5/4/2025,Pickled mustard greens flavor - Jiangtuan,3
5/4/2025,Pickled mustard greens flavor - Sea bass,6
5/4/2025,Pickled mustard greens flavor - Qian fish,17
5/4/2025,Green pepper flavor - Jiangtuan,8
5/4/2025,Green pepper flavor - Sea bass,11
5/4/2025,Green pepper flavor - Qian fish,23
5/4/2025,Mala flavor - Jiangtuan,29
5/4/2025,Mala flavor - Sea bass,32
5/4/2025,Mala flavor - Qian fish,44
5/5/2025,Chicken knee cartilage,72
5/5/2025,Grilled lamb skewers,122
5/5/2025,Old-jar pickled mustard greens flavor - Jiangtuan,4
5/5/2025,Old-jar pickled mustard greens flavor - Sea bass,4
5/5/2025,Old-jar pickled mustard greens flavor - Qian fish,4
5/5/2025,Garlic flavor - Jiangtuan,10
5/5/2025,Garlic flavor - Sea bass,12
5/5/2025,Garlic flavor - Qian fish,44
5/5/2025,Pickled mustard greens flavor - Jiangtuan,1
5/5/2025,Pickled mustard greens flavor - Sea bass,3
5/5/2025,Pickled mustard greens flavor - Qian fish,12
5/5/2025,Green pepper flavor - Jiangtuan,11
5/5/2025,Green pepper flavor - Sea bass,13
5/5/2025,Green pepper flavor - Qian fish,21
5/5/2025,Mala flavor - Jiangtuan,32
5/5/2025,Mala flavor - Sea bass,34
5/5/2025,Mala flavor - Qian fish,42
5/6/2025,Chicken knee cartilage,38
5/6/2025,Grilled lamb skewers,28
5/6/2025,Old-jar pickled mustard greens flavor - Jiangtuan,2
5/6/2025,Old-jar pickled mustard greens flavor - Sea bass,2
5/6/2025,Old-jar pickled mustard greens flavor - Qian fish,2
5/6/2025,Garlic flavor - Jiangtuan,2
5/6/2025,Garlic flavor - Sea bass,2
5/6/2025,Garlic flavor - Qian fish,9
5/6/2025,Pickled mustard greens flavor - Jiangtuan,2
5/6/2025,Pickled mustard greens flavor - Sea bass,2
5/6/2025,Pickled mustard greens flavor - Qian fish,8
5/6/2025,Green pepper flavor - Jiangtuan,4
5/6/2025,Green pepper flavor - Sea bass,4
5/6/2025,Green pepper flavor - Qian fish,12
5/6/2025,Mala flavor - Jiangtuan,15
5/6/2025,Mala flavor - Sea bass,15
5/6/2025,Mala flavor - Qian fish,31
5/7/2025,Chicken knee cartilage,43
5/7/2025,Grilled lamb skewers,47
5/7/2025,Old-jar pickled mustard greens flavor - Jiangtuan,1
5/7/2025,Old-jar pickled mustard greens flavor - Sea bass,1
5/7/2025,Old-jar pickled mustard greens flavor - Qian fish,1
5/7/2025,Garlic flavor - Jiangtuan,6
5/7/2025,Garlic flavor - Sea bass,7
5/7/2025,Garlic flavor - Qian fish,14
5/7/2025,Pickled mustard greens flavor - Jiangtuan,1
5/7/2025,Pickled mustard greens flavor - Sea bass,2
5/7/2025,Pickled mustard greens flavor - Qian fish,7
5/7/2025,Green pepper flavor - Jiangtuan,5
5/7/2025,Green pepper flavor - Sea bass,6
5/7/2025,Green pepper flavor - Qian fish,12
5/7/2025,Mala flavor - Jiangtuan,12
5/7/2025,Mala flavor - Sea bass,13
5/7/2025,Mala flavor - Qian fish,33
5/8/2025,Chicken knee cartilage,41
5/8/2025,Grilled lamb skewers,69
5/8/2025,Garlic flavor - Jiangtuan,3
5/8/2025,Garlic flavor - Sea bass,3
5/8/2025,Garlic flavor - Qian fish,12
5/8/2025,Pickled mustard greens flavor - Jiangtuan,3
5/8/2025,Pickled mustard greens flavor - Sea bass,3
5/8/2025,Pickled mustard greens flavor - Qian fish,11
5/8/2025,Green pepper flavor - Jiangtuan,5
5/8/2025,Green pepper flavor - Sea bass,5
5/8/2025,Green pepper flavor - Qian fish,16
5/8/2025,Mala flavor - Jiangtuan,21
5/8/2025,Mala flavor - Sea bass,21
5/8/2025,Mala flavor - Qian fish,37
5/9/2025,Chicken knee cartilage,51
5/9/2025,Grilled lamb skewers,86
5/9/2025,Old-jar pickled mustard greens flavor - Jiangtuan,2
5/9/2025,Old-jar pickled mustard greens flavor - Sea bass,2
5/9/2025,Old-jar pickled mustard greens flavor - Qian fish,2
5/9/2025,Garlic flavor - Jiangtuan,6
5/9/2025,Garlic flavor - Sea bass,9
5/9/2025,Garlic flavor - Qian fish,19
5/9/2025,Pickled mustard greens flavor - Jiangtuan,1
5/9/2025,Pickled mustard greens flavor - Sea bass,5
5/9/2025,Pickled mustard greens flavor - Qian fish,11
5/9/2025,Green pepper flavor - Jiangtuan,5
5/9/2025,Green pepper flavor - Sea bass,9
5/9/2025,Green pepper flavor - Qian fish,16
5/9/2025,Mala flavor - Jiangtuan,22
5/9/2025,Mala flavor - Sea bass,26
5/9/2025,Mala flavor - Qian fish,53
5/10/2025,Chicken knee cartilage,89
5/10/2025,Grilled lamb skewers,122
5/10/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/10/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/10/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/10/2025,Garlic flavor - Jiangtuan,8
5/10/2025,Garlic flavor - Sea bass,11
5/10/2025,Garlic flavor - Qian fish,37
5/10/2025,Pickled mustard greens flavor - Jiangtuan,2
5/10/2025,Pickled mustard greens flavor - Sea bass,4
5/10/2025,Pickled mustard greens flavor - Qian fish,12
5/10/2025,Green pepper flavor - Jiangtuan,10
5/10/2025,Green pepper flavor - Sea bass,12
5/10/2025,Green pepper flavor - Qian fish,20
5/10/2025,Mala flavor - Jiangtuan,22
5/10/2025,Mala flavor - Sea bass,24
5/10/2025,Mala flavor - Qian fish,32
5/11/2025,Chicken knee cartilage,55
5/11/2025,Grilled lamb skewers,99
5/11/2025,Old-jar pickled mustard greens flavor - Jiangtuan,4
5/11/2025,Old-jar pickled mustard greens flavor - Sea bass,4
5/11/2025,Old-jar pickled mustard greens flavor - Qian fish,4
5/11/2025,Garlic flavor - Jiangtuan,9
5/11/2025,Garlic flavor - Sea bass,12
5/11/2025,Garlic flavor - Qian fish,44
5/11/2025,Pickled mustard greens flavor - Jiangtuan,4
5/11/2025,Pickled mustard greens flavor - Sea bass,7
5/11/2025,Pickled mustard greens flavor - Qian fish,14
5/11/2025,Green pepper flavor - Jiangtuan,9
5/11/2025,Green pepper flavor - Sea bass,12
5/11/2025,Green pepper flavor - Qian fish,19
5/11/2025,Mala flavor - Jiangtuan,26
5/11/2025,Mala flavor - Sea bass,29
5/11/2025,Mala flavor - Qian fish,37
5/12/2025,Chicken knee cartilage,31
5/12/2025,Grilled lamb skewers,23
5/12/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/12/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/12/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/12/2025,Garlic flavor - Jiangtuan,4
5/12/2025,Garlic flavor - Sea bass,5
5/12/2025,Garlic flavor - Qian fish,13
5/12/2025,Pickled mustard greens flavor - Jiangtuan,2
5/12/2025,Pickled mustard greens flavor - Sea bass,2
5/12/2025,Pickled mustard greens flavor - Qian fish,8
5/12/2025,Green pepper flavor - Jiangtuan,3
5/12/2025,Green pepper flavor - Sea bass,3
5/12/2025,Green pepper flavor - Qian fish,8
5/12/2025,Mala flavor - Jiangtuan,13
5/12/2025,Mala flavor - Sea bass,14
5/12/2025,Mala flavor - Qian fish,29
5/13/2025,Chicken knee cartilage,31
5/13/2025,Grilled lamb skewers,52
5/13/2025,Old-jar pickled mustard greens flavor - Jiangtuan,1
5/13/2025,Old-jar pickled mustard greens flavor - Sea bass,1
5/13/2025,Old-jar pickled mustard greens flavor - Qian fish,1
5/13/2025,Garlic flavor - Jiangtuan,3
5/13/2025,Garlic flavor - Sea bass,4
5/13/2025,Garlic flavor - Qian fish,16
5/13/2025,Pickled mustard greens flavor - Jiangtuan,1
5/13/2025,Pickled mustard greens flavor - Sea bass,3
5/13/2025,Pickled mustard greens flavor - Qian fish,9
5/13/2025,Green pepper flavor - Jiangtuan,3
5/13/2025,Green pepper flavor - Sea bass,4
5/13/2025,Green pepper flavor - Qian fish,13
5/13/2025,Mala flavor - Jiangtuan,14
5/13/2025,Mala flavor - Sea bass,16
5/13/2025,Mala flavor - Qian fish,33
5/14/2025,Chicken knee cartilage,27
5/14/2025,Grilled lamb skewers,33
5/14/2025,Old-jar pickled mustard greens flavor - Jiangtuan,1
5/14/2025,Old-jar pickled mustard greens flavor - Sea bass,1
5/14/2025,Old-jar pickled mustard greens flavor - Qian fish,1
5/14/2025,Garlic flavor - Jiangtuan,4
5/14/2025,Garlic flavor - Sea bass,5
5/14/2025,Garlic flavor - Qian fish,10
5/14/2025,Pickled mustard greens flavor - Jiangtuan,1
5/14/2025,Pickled mustard greens flavor - Sea bass,2
5/14/2025,Pickled mustard greens flavor - Qian fish,6
5/14/2025,Green pepper flavor - Jiangtuan,4
5/14/2025,Green pepper flavor - Sea bass,4
5/14/2025,Green pepper flavor - Qian fish,10
5/14/2025,Mala flavor - Jiangtuan,17
5/14/2025,Mala flavor - Sea bass,18
5/14/2025,Mala flavor - Qian fish,32
5/15/2025,Chicken knee cartilage,33
5/15/2025,Grilled lamb skewers,25
5/15/2025,Old-jar pickled mustard greens flavor - Jiangtuan,1
5/15/2025,Old-jar pickled mustard greens flavor - Sea bass,1
5/15/2025,Old-jar pickled mustard greens flavor - Qian fish,1
5/15/2025,Garlic flavor - Jiangtuan,3
5/15/2025,Garlic flavor - Sea bass,4
5/15/2025,Garlic flavor - Qian fish,17
5/15/2025,Pickled mustard greens flavor - Jiangtuan,1
5/15/2025,Pickled mustard greens flavor - Sea bass,1
5/15/2025,Pickled mustard greens flavor - Qian fish,15
5/15/2025,Green pepper flavor - Jiangtuan,5
5/15/2025,Green pepper flavor - Sea bass,6
5/15/2025,Green pepper flavor - Qian fish,19
5/15/2025,Mala flavor - Jiangtuan,14
5/15/2025,Mala flavor - Sea bass,15
5/15/2025,Mala flavor - Qian fish,41
5/16/2025,Chicken knee cartilage,84
5/16/2025,Grilled lamb skewers,86
5/16/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/16/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/16/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/16/2025,Garlic flavor - Jiangtuan,6
5/16/2025,Garlic flavor - Sea bass,7
5/16/2025,Garlic flavor - Qian fish,20
5/16/2025,Pickled mustard greens flavor - Jiangtuan,2
5/16/2025,Pickled mustard greens flavor - Sea bass,2
5/16/2025,Pickled mustard greens flavor - Qian fish,12
5/16/2025,Green pepper flavor - Jiangtuan,5
5/16/2025,Green pepper flavor - Sea bass,6
5/16/2025,Green pepper flavor - Qian fish,14
5/16/2025,Mala flavor - Jiangtuan,19
5/16/2025,Mala flavor - Sea bass,20
5/16/2025,Mala flavor - Qian fish,49
5/17/2025,Chicken knee cartilage,66
5/17/2025,Grilled lamb skewers,101
5/17/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/17/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/17/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/17/2025,Garlic flavor - Jiangtuan,9
5/17/2025,Garlic flavor - Sea bass,11
5/17/2025,Garlic flavor - Qian fish,28
5/17/2025,Pickled mustard greens flavor - Jiangtuan,2
5/17/2025,Pickled mustard greens flavor - Sea bass,5
5/17/2025,Pickled mustard greens flavor - Qian fish,13
5/17/2025,Green pepper flavor - Jiangtuan,10
5/17/2025,Green pepper flavor - Sea bass,13
5/17/2025,Green pepper flavor - Qian fish,21
5/17/2025,Mala flavor - Jiangtuan,23
5/17/2025,Mala flavor - Sea bass,25
5/17/2025,Mala flavor - Qian fish,33
5/18/2025,Chicken knee cartilage,78
5/18/2025,Grilled lamb skewers,91
5/18/2025,Old-jar pickled mustard greens flavor - Jiangtuan,4
5/18/2025,Old-jar pickled mustard greens flavor - Sea bass,4
5/18/2025,Old-jar pickled mustard greens flavor - Qian fish,4
5/18/2025,Garlic flavor - Jiangtuan,9
5/18/2025,Garlic flavor - Sea bass,12
5/18/2025,Garlic flavor - Qian fish,31
5/18/2025,Pickled mustard greens flavor - Jiangtuan,2
5/18/2025,Pickled mustard greens flavor - Sea bass,5
5/18/2025,Pickled mustard greens flavor - Qian fish,11
5/18/2025,Green pepper flavor - Jiangtuan,10
5/18/2025,Green pepper flavor - Sea bass,13
5/18/2025,Green pepper flavor - Qian fish,19
5/18/2025,Mala flavor - Jiangtuan,26
5/18/2025,Mala flavor - Sea bass,29
5/18/2025,Mala flavor - Qian fish,35
5/19/2025,Chicken knee cartilage,26
5/19/2025,Grilled lamb skewers,39
5/19/2025,Old-jar pickled mustard greens flavor - Jiangtuan,1
5/19/2025,Old-jar pickled mustard greens flavor - Sea bass,1
5/19/2025,Old-jar pickled mustard greens flavor - Qian fish,1
5/19/2025,Garlic flavor - Jiangtuan,3
5/19/2025,Garlic flavor - Sea bass,4
5/19/2025,Garlic flavor - Qian fish,15
5/19/2025,Pickled mustard greens flavor - Jiangtuan,1
5/19/2025,Pickled mustard greens flavor - Sea bass,2
5/19/2025,Pickled mustard greens flavor - Qian fish,8
5/19/2025,Green pepper flavor - Jiangtuan,3
5/19/2025,Green pepper flavor - Sea bass,4
5/19/2025,Green pepper flavor - Qian fish,12
5/19/2025,Mala flavor - Jiangtuan,13
5/19/2025,Mala flavor - Sea bass,14
5/19/2025,Mala flavor - Qian fish,38
5/20/2025,Chicken knee cartilage,51
5/20/2025,Grilled lamb skewers,76
5/20/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/20/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/20/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/20/2025,Garlic flavor - Jiangtuan,5
5/20/2025,Garlic flavor - Sea bass,8
5/20/2025,Garlic flavor - Qian fish,25
5/20/2025,Pickled mustard greens flavor - Jiangtuan,1
5/20/2025,Pickled mustard greens flavor - Sea bass,4
5/20/2025,Pickled mustard greens flavor - Qian fish,15
5/20/2025,Green pepper flavor - Jiangtuan,8
5/20/2025,Green pepper flavor - Sea bass,11
5/20/2025,Green pepper flavor - Qian fish,19
5/20/2025,Mala flavor - Jiangtuan,36
5/20/2025,Mala flavor - Sea bass,39
5/20/2025,Mala flavor - Qian fish,55
5/21/2025,Chicken knee cartilage,37
5/21/2025,Grilled lamb skewers,37
5/21/2025,Old-jar pickled mustard greens flavor - Jiangtuan,1
5/21/2025,Old-jar pickled mustard greens flavor - Sea bass,1
5/21/2025,Old-jar pickled mustard greens flavor - Qian fish,1
5/21/2025,Garlic flavor - Jiangtuan,3
5/21/2025,Garlic flavor - Sea bass,5
5/21/2025,Garlic flavor - Qian fish,16
5/21/2025,Pickled mustard greens flavor - Jiangtuan,0
5/21/2025,Pickled mustard greens flavor - Sea bass,2
5/21/2025,Pickled mustard greens flavor - Qian fish,14
5/21/2025,Green pepper flavor - Jiangtuan,5
5/21/2025,Green pepper flavor - Sea bass,7
5/21/2025,Green pepper flavor - Qian fish,21
5/21/2025,Mala flavor - Jiangtuan,18
5/21/2025,Mala flavor - Sea bass,20
5/21/2025,Mala flavor - Qian fish,57
5/22/2025,Chicken knee cartilage,39
5/22/2025,Grilled lamb skewers,59
5/22/2025,Old-jar pickled mustard greens flavor - Jiangtuan,1
5/22/2025,Old-jar pickled mustard greens flavor - Sea bass,1
5/22/2025,Old-jar pickled mustard greens flavor - Qian fish,1
5/22/2025,Garlic flavor - Jiangtuan,4
5/22/2025,Garlic flavor - Sea bass,5
5/22/2025,Garlic flavor - Qian fish,15
5/22/2025,Pickled mustard greens flavor - Jiangtuan,2
5/22/2025,Pickled mustard greens flavor - Sea bass,3
5/22/2025,Pickled mustard greens flavor - Qian fish,13
5/22/2025,Green pepper flavor - Jiangtuan,5
5/22/2025,Green pepper flavor - Sea bass,6
5/22/2025,Green pepper flavor - Qian fish,15
5/22/2025,Mala flavor - Jiangtuan,16
5/22/2025,Mala flavor - Sea bass,17
5/22/2025,Mala flavor - Qian fish,42
5/23/2025,Chicken knee cartilage,47
5/23/2025,Grilled lamb skewers,80
5/23/2025,Old-jar pickled mustard greens flavor - Jiangtuan,2
5/23/2025,Old-jar pickled mustard greens flavor - Sea bass,2
5/23/2025,Old-jar pickled mustard greens flavor - Qian fish,2
5/23/2025,Garlic flavor - Jiangtuan,5
5/23/2025,Garlic flavor - Sea bass,7
5/23/2025,Garlic flavor - Qian fish,22
5/23/2025,Pickled mustard greens flavor - Jiangtuan,1
5/23/2025,Pickled mustard greens flavor - Sea bass,3
5/23/2025,Pickled mustard greens flavor - Qian fish,12
5/23/2025,Green pepper flavor - Jiangtuan,5
5/23/2025,Green pepper flavor - Sea bass,7
5/23/2025,Green pepper flavor - Qian fish,17
5/23/2025,Mala flavor - Jiangtuan,20
5/23/2025,Mala flavor - Sea bass,22
5/23/2025,Mala flavor - Qian fish,43
5/24/2025,Chicken knee cartilage,72
5/24/2025,Grilled lamb skewers,92
5/24/2025,Old-jar pickled mustard greens flavor - Jiangtuan,2
5/24/2025,Old-jar pickled mustard greens flavor - Sea bass,2
5/24/2025,Old-jar pickled mustard greens flavor - Qian fish,2
5/24/2025,Garlic flavor - Jiangtuan,10
5/24/2025,Garlic flavor - Sea bass,13
5/24/2025,Garlic flavor - Qian fish,38
5/24/2025,Pickled mustard greens flavor - Jiangtuan,3
5/24/2025,Pickled mustard greens flavor - Sea bass,5
5/24/2025,Pickled mustard greens flavor - Qian fish,16
5/24/2025,Green pepper flavor - Jiangtuan,9
5/24/2025,Green pepper flavor - Sea bass,11
5/24/2025,Green pepper flavor - Qian fish,22
5/24/2025,Mala flavor - Jiangtuan,22
5/24/2025,Mala flavor - Sea bass,24
5/24/2025,Mala flavor - Qian fish,35
5/25/2025,Chicken knee cartilage,53
5/25/2025,Grilled lamb skewers,100
5/25/2025,Old-jar pickled mustard greens flavor - Jiangtuan,2
5/25/2025,Old-jar pickled mustard greens flavor - Sea bass,2
5/25/2025,Old-jar pickled mustard greens flavor - Qian fish,2
5/25/2025,Garlic flavor - Jiangtuan,10
5/25/2025,Garlic flavor - Sea bass,11
5/25/2025,Garlic flavor - Qian fish,36
5/25/2025,Pickled mustard greens flavor - Jiangtuan,1
5/25/2025,Pickled mustard greens flavor - Sea bass,2
5/25/2025,Pickled mustard greens flavor - Qian fish,16
5/25/2025,Green pepper flavor - Jiangtuan,8
5/25/2025,Green pepper flavor - Sea bass,8
5/25/2025,Green pepper flavor - Qian fish,22
5/25/2025,Mala flavor - Jiangtuan,29
5/25/2025,Mala flavor - Sea bass,30
5/25/2025,Mala flavor - Qian fish,43
5/26/2025,Chicken knee cartilage,23
5/26/2025,Grilled lamb skewers,31
5/26/2025,Old-jar pickled mustard greens flavor - Jiangtuan,2
5/26/2025,Old-jar pickled mustard greens flavor - Sea bass,2
5/26/2025,Old-jar pickled mustard greens flavor - Qian fish,2
5/26/2025,Garlic flavor - Jiangtuan,3
5/26/2025,Garlic flavor - Sea bass,4
5/26/2025,Garlic flavor - Qian fish,11
5/26/2025,Pickled mustard greens flavor - Sea bass,1
5/26/2025,Pickled mustard greens flavor - Qian fish,9
5/26/2025,Green pepper flavor - Jiangtuan,4
5/26/2025,Green pepper flavor - Sea bass,5
5/26/2025,Green pepper flavor - Qian fish,17
5/26/2025,Mala flavor - Jiangtuan,11
5/26/2025,Mala flavor - Sea bass,12
5/26/2025,Mala flavor - Qian fish,30
5/27/2025,Chicken knee cartilage,42
5/27/2025,Grilled lamb skewers,32
5/27/2025,Old-jar pickled mustard greens flavor - Jiangtuan,2
5/27/2025,Old-jar pickled mustard greens flavor - Sea bass,2
5/27/2025,Old-jar pickled mustard greens flavor - Qian fish,2
5/27/2025,Garlic flavor - Jiangtuan,3
5/27/2025,Garlic flavor - Sea bass,4
5/27/2025,Garlic flavor - Qian fish,14
5/27/2025,Pickled mustard greens flavor - Jiangtuan,1
5/27/2025,Pickled mustard greens flavor - Sea bass,2
5/27/2025,Pickled mustard greens flavor - Qian fish,8
5/27/2025,Green pepper flavor - Jiangtuan,4
5/27/2025,Green pepper flavor - Sea bass,5
5/27/2025,Green pepper flavor - Qian fish,10
5/27/2025,Mala flavor - Jiangtuan,16
5/27/2025,Mala flavor - Sea bass,17
5/27/2025,Mala flavor - Qian fish,32
5/28/2025,Chicken knee cartilage,43
5/28/2025,Grilled lamb skewers,62
5/28/2025,Old-jar pickled mustard greens flavor - Jiangtuan,2
5/28/2025,Old-jar pickled mustard greens flavor - Sea bass,2
5/28/2025,Old-jar pickled mustard greens flavor - Qian fish,2
5/28/2025,Garlic flavor - Jiangtuan,3
5/28/2025,Garlic flavor - Sea bass,5
5/28/2025,Garlic flavor - Qian fish,18
5/28/2025,Pickled mustard greens flavor - Jiangtuan,1
5/28/2025,Pickled mustard greens flavor - Sea bass,3
5/28/2025,Pickled mustard greens flavor - Qian fish,8
5/28/2025,Green pepper flavor - Jiangtuan,7
5/28/2025,Green pepper flavor - Sea bass,10
5/28/2025,Green pepper flavor - Qian fish,20
5/28/2025,Mala flavor - Jiangtuan,16
5/28/2025,Mala flavor - Sea bass,18
5/28/2025,Mala flavor - Qian fish,43
5/29/2025,Chicken knee cartilage,48
5/29/2025,Grilled lamb skewers,88
5/29/2025,Old-jar pickled mustard greens flavor - Jiangtuan,2
5/29/2025,Old-jar pickled mustard greens flavor - Sea bass,2
5/29/2025,Old-jar pickled mustard greens flavor - Qian fish,2
5/29/2025,Garlic flavor - Jiangtuan,4
5/29/2025,Garlic flavor - Sea bass,4
5/29/2025,Garlic flavor - Qian fish,21
5/29/2025,Pickled mustard greens flavor - Jiangtuan,2
5/29/2025,Pickled mustard greens flavor - Sea bass,2
5/29/2025,Pickled mustard greens flavor - Qian fish,11
5/29/2025,Green pepper flavor - Jiangtuan,5
5/29/2025,Green pepper flavor - Sea bass,5
5/29/2025,Green pepper flavor - Qian fish,15
5/29/2025,Mala flavor - Jiangtuan,18
5/29/2025,Mala flavor - Sea bass,19
5/29/2025,Mala flavor - Qian fish,44
5/30/2025,Chicken knee cartilage,61
5/30/2025,Grilled lamb skewers,49
5/30/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/30/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/30/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/30/2025,Garlic flavor - Jiangtuan,6
5/30/2025,Garlic flavor - Sea bass,7
5/30/2025,Garlic flavor - Qian fish,27
5/30/2025,Pickled mustard greens flavor - Jiangtuan,3
5/30/2025,Pickled mustard greens flavor - Sea bass,4
5/30/2025,Pickled mustard greens flavor - Qian fish,15
5/30/2025,Green pepper flavor - Jiangtuan,8
5/30/2025,Green pepper flavor - Sea bass,9
5/30/2025,Green pepper flavor - Qian fish,19
5/30/2025,Mala flavor - Jiangtuan,23
5/30/2025,Mala flavor - Sea bass,24
5/30/2025,Mala flavor - Qian fish,42
5/31/2025,Chicken knee cartilage,71
5/31/2025,Grilled lamb skewers,98
5/31/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/31/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/31/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/31/2025,Garlic flavor - Jiangtuan,11
5/31/2025,Garlic flavor - Sea bass,14
5/31/2025,Garlic flavor - Qian fish,44
5/31/2025,Pickled mustard greens flavor - Jiangtuan,2
5/31/2025,Pickled mustard greens flavor - Sea bass,5
5/31/2025,Pickled mustard greens flavor - Qian fish,21
5/31/2025,Green pepper flavor - Jiangtuan,6
5/31/2025,Green pepper flavor - Sea bass,8
5/31/2025,Green pepper flavor - Qian fish,24
5/31/2025,Mala flavor - Jiangtuan,29
5/31/2025,Mala flavor - Sea bass,31
5/31/2025,Mala flavor - Qian fish,47
6/1/2025,Chicken knee cartilage,53
6/1/2025,Grilled lamb skewers,161
6/1/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
6/1/2025,Old-jar pickled mustard greens flavor - Sea bass,3
6/1/2025,Old-jar pickled mustard greens flavor - Qian fish,3
6/1/2025,Garlic flavor - Jiangtuan,10
6/1/2025,Garlic flavor - Sea bass,11
6/1/2025,Garlic flavor - Qian fish,44
6/1/2025,Pickled mustard greens flavor - Jiangtuan,3
6/1/2025,Pickled mustard greens flavor - Sea bass,5
6/1/2025,Pickled mustard greens flavor - Qian fish,26
6/1/2025,Green pepper flavor - Jiangtuan,8
6/1/2025,Green pepper flavor - Sea bass,10
6/1/2025,Green pepper flavor - Qian fish,31
6/1/2025,Mala flavor - Jiangtuan,25
6/1/2025,Mala flavor - Sea bass,27
6/1/2025,Mala flavor - Qian fish,48
6/2/2025,Chicken knee cartilage,58
6/2/2025,Grilled lamb skewers,84
6/2/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
6/2/2025,Old-jar pickled mustard greens flavor - Sea bass,3
