date,dish,sales
2025-05-09,Green pepper flavor - Sea bass,9.0
2025-05-09,Green pepper flavor - Qian fish,16.0
2025-05-09,Mala flavor - Jiangtuan,22.0
2025-05-09,Mala flavor - Sea bass,26.0
2025-05-09,Mala flavor - Qian fish,53.0
2025-05-10,Chicken knee cartilage,89.0
2025-05-10,Grilled lamb skewers,122.0
2025-05-10,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-05-10,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-05-10,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-05-10,Garlic flavor - Jiangtuan,8.0
2025-05-10,Garlic flavor - Sea bass,11.0
2025-05-10,Garlic flavor - Qian fish,37.0
2025-05-10,Pickled mustard greens flavor - Jiangtuan,2.0
2025-05-10,Pickled mustard greens flavor - Sea bass,4.0
2025-05-10,Pickled mustard greens flavor - Qian fish,12.0
2025-05-10,Green pepper flavor - Jiangtuan,10.0
2025-05-10,Green pepper flavor - Sea bass,12.0
2025-05-10,Green pepper flavor - Qian fish,20.0
2025-05-10,Mala flavor - Jiangtuan,22.0
2025-05-10,Mala flavor - Sea bass,24.0
2025-05-10,Mala flavor - Qian fish,32.0
2025-05-11,Chicken knee cartilage,55.0
2025-05-11,Grilled lamb skewers,99.0
2025-05-11,Old-jar pickled mustard greens flavor - Jiangtuan,4.0
2025-05-11,Old-jar pickled mustard greens flavor - Sea bass,4.0
2025-05-11,Old-jar pickled mustard greens flavor - Qian fish,4.0
2025-05-11,Garlic flavor - Jiangtuan,9.0
2025-05-11,Garlic flavor - Sea bass,12.0
2025-05-11,Garlic flavor - Qian fish,44.0
2025-05-11,Pickled mustard greens flavor - Jiangtuan,4.0
2025-05-11,Pickled mustard greens flavor - Sea bass,7.0
2025-05-11,Pickled mustard greens flavor - Qian fish,14.0
2025-05-11,Green pepper flavor - Jiangtuan,9.0
2025-05-11,Green pepper flavor - Sea bass,12.0
2025-05-11,Green pepper flavor - Qian fish,19.0
2025-05-11,Mala flavor - Jiangtuan,26.0
2025-05-11,Mala flavor - Sea bass,29.0
2025-05-11,Mala flavor - Qian fish,37.0
2025-05-12,Chicken knee cartilage,31.0
2025-05-12,Grilled lamb skewers,23.0
2025-05-12,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-05-12,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-05-12,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-05-12,Garlic flavor - Jiangtuan,4.0
2025-05-12,Garlic flavor - Sea bass,5.0
2025-05-12,Garlic flavor - Qian fish,13.0
2025-05-12,Pickled mustard greens flavor - Jiangtuan,2.0
2025-05-12,Pickled mustard greens flavor - Sea bass,2.0
2025-05-12,Pickled mustard greens flavor - Qian fish,8.0
2025-05-12,Green pepper flavor - Jiangtuan,3.0
2025-05-12,Green pepper flavor - Sea bass,3.0
2025-05-12,Green pepper flavor - Qian fish,8.0
2025-05-12,Mala flavor - Jiangtuan,13.0
2025-05-12,Mala flavor - Sea bass,14.0
2025-05-12,Mala flavor - Qian fish,29.0
2025-05-13,Chicken knee cartilage,31.0
2025-05-13,Grilled lamb skewers,52.0
2025-05-13,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-05-13,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-05-13,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-05-13,Garlic flavor - Jiangtuan,3.0
2025-05-13,Garlic flavor - Sea bass,4.0
2025-05-13,Garlic flavor - Qian fish,16.0
2025-05-13,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-13,Pickled mustard greens flavor - Sea bass,3.0
2025-05-13,Pickled mustard greens flavor - Qian fish,9.0
2025-05-13,Green pepper flavor - Jiangtuan,3.0
2025-05-13,Green pepper flavor - Sea bass,4.0
2025-05-13,Green pepper flavor - Qian fish,13.0
2025-05-13,Mala flavor - Jiangtuan,14.0
2025-05-13,Mala flavor - Sea bass,16.0
2025-05-13,Mala flavor - Qian fish,33.0
2025-05-14,Chicken knee cartilage,27.0
2025-05-14,Grilled lamb skewers,33.0
2025-05-14,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-05-14,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-05-14,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-05-14,Garlic flavor - Jiangtuan,4.0
2025-05-14,Garlic flavor - Sea bass,5.0
2025-05-14,Garlic flavor - Qian fish,10.0
2025-05-14,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-14,Pickled mustard greens flavor - Sea bass,2.0
2025-05-14,Pickled mustard greens flavor - Qian fish,6.0
2025-05-14,Green pepper flavor - Jiangtuan,4.0
2025-05-14,Green pepper flavor - Sea bass,4.0
2025-05-14,Green pepper flavor - Qian fish,10.0
2025-05-14,Mala flavor - Jiangtuan,17.0
2025-05-14,Mala flavor - Sea bass,18.0
2025-05-14,Mala flavor - Qian fish,32.0
2025-05-15,Chicken knee cartilage,33.0
2025-05-15,Grilled lamb skewers,25.0
2025-05-15,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-05-15,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-05-15,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-05-15,Garlic flavor - Jiangtuan,3.0
2025-05-15,Garlic flavor - Sea bass,4.0
2025-05-15,Garlic flavor - Qian fish,17.0
2025-05-15,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-15,Pickled mustard greens flavor - Sea bass,1.0
2025-05-15,Pickled mustard greens flavor - Qian fish,15.0
2025-05-15,Green pepper flavor - Jiangtuan,5.0
2025-05-15,Green pepper flavor - Sea bass,6.0
2025-05-15,Green pepper flavor - Qian fish,19.0
2025-05-15,Mala flavor - Jiangtuan,14.0
2025-05-15,Mala flavor - Sea bass,15.0
2025-05-15,Mala flavor - Qian fish,41.0
2025-05-16,Chicken knee cartilage,84.0
2025-05-16,Grilled lamb skewers,86.0
2025-05-16,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-05-16,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-05-16,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-05-16,Garlic flavor - Jiangtuan,6.0
2025-05-16,Garlic flavor - Sea bass,7.0
2025-05-16,Garlic flavor - Qian fish,20.0
2025-05-16,Pickled mustard greens flavor - Jiangtuan,2.0
2025-05-16,Pickled mustard greens flavor - Sea bass,2.0
2025-05-16,Pickled mustard greens flavor - Qian fish,12.0
2025-05-16,Green pepper flavor - Jiangtuan,5.0
2025-05-16,Green pepper flavor - Sea bass,6.0
2025-05-16,Green pepper flavor - Qian fish,14.0
2025-05-16,Mala flavor - Jiangtuan,19.0
2025-05-16,Mala flavor - Sea bass,20.0
2025-05-16,Mala flavor - Qian fish,49.0
2025-05-17,Chicken knee cartilage,66.0
2025-05-17,Grilled lamb skewers,101.0
2025-05-17,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-05-17,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-05-17,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-05-17,Garlic flavor - Jiangtuan,9.0
2025-05-17,Garlic flavor - Sea bass,11.0
2025-05-17,Garlic flavor - Qian fish,28.0
2025-05-17,Pickled mustard greens flavor - Jiangtuan,2.0
2025-05-17,Pickled mustard greens flavor - Sea bass,5.0
2025-05-17,Pickled mustard greens flavor - Qian fish,13.0
2025-05-17,Green pepper flavor - Jiangtuan,10.0
2025-05-17,Green pepper flavor - Sea bass,13.0
2025-05-17,Green pepper flavor - Qian fish,21.0
2025-05-17,Mala flavor - Jiangtuan,23.0
2025-05-17,Mala flavor - Sea bass,25.0
2025-05-17,Mala flavor - Qian fish,33.0
2025-05-18,Chicken knee cartilage,78.0
2025-05-18,Grilled lamb skewers,91.0
2025-05-18,Old-jar pickled mustard greens flavor - Jiangtuan,4.0
2025-05-18,Old-jar pickled mustard greens flavor - Sea bass,4.0
2025-05-18,Old-jar pickled mustard greens flavor - Qian fish,4.0
2025-05-18,Garlic flavor - Jiangtuan,9.0
2025-05-18,Garlic flavor - Sea bass,12.0
2025-05-18,Garlic flavor - Qian fish,31.0
2025-05-18,Pickled mustard greens flavor - Jiangtuan,2.0
2025-05-18,Pickled mustard greens flavor - Sea bass,5.0
2025-05-18,Pickled mustard greens flavor - Qian fish,11.0
2025-05-18,Green pepper flavor - Jiangtuan,10.0
2025-05-18,Green pepper flavor - Sea bass,13.0
2025-05-18,Green pepper flavor - Qian fish,19.0
2025-05-18,Mala flavor - Jiangtuan,26.0
2025-05-18,Mala flavor - Sea bass,29.0
2025-05-18,Mala flavor - Qian fish,35.0
2025-05-19,Chicken knee cartilage,26.0
2025-05-19,Grilled lamb skewers,39.0
2025-05-19,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-05-19,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-05-19,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-05-19,Garlic flavor - Jiangtuan,3.0
2025-05-19,Garlic flavor - Sea bass,4.0
2025-05-19,Garlic flavor - Qian fish,15.0
2025-05-19,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-19,Pickled mustard greens flavor - Sea bass,2.0
2025-05-19,Pickled mustard greens flavor - Qian fish,8.0
2025-05-19,Green pepper flavor - Jiangtuan,3.0
2025-05-19,Green pepper flavor - Sea bass,4.0
2025-05-19,Green pepper flavor - Qian fish,12.0
2025-05-19,Mala flavor - Jiangtuan,13.0
2025-05-19,Mala flavor - Sea bass,14.0
2025-05-19,Mala flavor - Qian fish,38.0
2025-05-20,Chicken knee cartilage,51.0
2025-05-20,Grilled lamb skewers,76.0
2025-05-20,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-05-20,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-05-20,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-05-20,Garlic flavor - Jiangtuan,5.0
2025-05-20,Garlic flavor - Sea bass,8.0
2025-05-20,Garlic flavor - Qian fish,25.0
2025-05-20,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-20,Pickled mustard greens flavor - Sea bass,4.0
2025-05-20,Pickled mustard greens flavor - Qian fish,15.0
2025-05-20,Green pepper flavor - Jiangtuan,8.0
2025-05-20,Green pepper flavor - Sea bass,11.0
2025-05-20,Green pepper flavor - Qian fish,19.0
2025-05-20,Mala flavor - Jiangtuan,36.0
2025-05-20,Mala flavor - Sea bass,39.0
2025-05-20,Mala flavor - Qian fish,55.0
2025-05-21,Chicken knee cartilage,37.0
2025-05-21,Grilled lamb skewers,37.0
2025-05-21,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-05-21,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-05-21,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-05-21,Garlic flavor - Jiangtuan,3.0
2025-05-21,Garlic flavor - Sea bass,5.0
2025-05-21,Garlic flavor - Qian fish,16.0
2025-05-21,Pickled mustard greens flavor - Jiangtuan,0.0
2025-05-21,Pickled mustard greens flavor - Sea bass,2.0
2025-05-21,Pickled mustard greens flavor - Qian fish,14.0
2025-05-21,Green pepper flavor - Jiangtuan,5.0
2025-05-21,Green pepper flavor - Sea bass,7.0
2025-05-21,Green pepper flavor - Qian fish,21.0
2025-05-21,Mala flavor - Jiangtuan,18.0
2025-05-21,Mala flavor - Sea bass,20.0
2025-05-21,Mala flavor - Qian fish,57.0
2025-05-22,Chicken knee cartilage,39.0
2025-05-22,Grilled lamb skewers,59.0
2025-05-22,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-05-22,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-05-22,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-05-22,Garlic flavor - Jiangtuan,4.0
2025-05-22,Garlic flavor - Sea bass,5.0
2025-05-22,Garlic flavor - Qian fish,15.0
2025-05-22,Pickled mustard greens flavor - Jiangtuan,2.0
2025-05-22,Pickled mustard greens flavor - Sea bass,3.0
2025-05-22,Pickled mustard greens flavor - Qian fish,13.0
2025-05-22,Green pepper flavor - Jiangtuan,5.0
2025-05-22,Green pepper flavor - Sea bass,6.0
2025-05-22,Green pepper flavor - Qian fish,15.0
2025-05-22,Mala flavor - Jiangtuan,16.0
2025-05-22,Mala flavor - Sea bass,17.0
2025-05-22,Mala flavor - Qian fish,42.0
2025-05-23,Chicken knee cartilage,47.0
2025-05-23,Grilled lamb skewers,80.0
2025-05-23,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-05-23,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-05-23,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-05-23,Garlic flavor - Jiangtuan,5.0
2025-05-23,Garlic flavor - Sea bass,7.0
2025-05-23,Garlic flavor - Qian fish,22.0
2025-05-23,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-23,Pickled mustard greens flavor - Sea bass,3.0
2025-05-23,Pickled mustard greens flavor - Qian fish,12.0
2025-05-23,Green pepper flavor - Jiangtuan,5.0
2025-05-23,Green pepper flavor - Sea bass,7.0
2025-05-23,Green pepper flavor - Qian fish,17.0
2025-05-23,Mala flavor - Jiangtuan,20.0
2025-05-23,Mala flavor - Sea bass,22.0
2025-05-23,Mala flavor - Qian fish,43.0
2025-05-24,Chicken knee cartilage,72.0
2025-05-24,Grilled lamb skewers,92.0
2025-05-24,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-05-24,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-05-24,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-05-24,Garlic flavor - Jiangtuan,10.0
2025-05-24,Garlic flavor - Sea bass,13.0
2025-05-24,Garlic flavor - Qian fish,38.0
2025-05-24,Pickled mustard greens flavor - Jiangtuan,3.0
2025-05-24,Pickled mustard greens flavor - Sea bass,5.0
2025-05-24,Pickled mustard greens flavor - Qian fish,16.0
2025-05-24,Green pepper flavor - Jiangtuan,9.0
2025-05-24,Green pepper flavor - Sea bass,11.0
2025-05-24,Green pepper flavor - Qian fish,22.0
2025-05-24,Mala flavor - Jiangtuan,22.0
2025-05-24,Mala flavor - Sea bass,24.0
2025-05-24,Mala flavor - Qian fish,35.0
2025-05-25,Chicken knee cartilage,53.0
2025-05-25,Grilled lamb skewers,100.0
2025-05-25,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-05-25,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-05-25,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-05-25,Garlic flavor - Jiangtuan,10.0
2025-05-25,Garlic flavor - Sea bass,11.0
2025-05-25,Garlic flavor - Qian fish,36.0
2025-05-25,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-25,Pickled mustard greens flavor - Sea bass,2.0
2025-05-25,Pickled mustard greens flavor - Qian fish,16.0
2025-05-25,Green pepper flavor - Jiangtuan,8.0
2025-05-25,Green pepper flavor - Sea bass,8.0
2025-05-25,Green pepper flavor - Qian fish,22.0
2025-05-25,Mala flavor - Jiangtuan,29.0
2025-05-25,Mala flavor - Sea bass,30.0
2025-05-25,Mala flavor - Qian fish,43.0
2025-05-26,Chicken knee cartilage,23.0
2025-05-26,Grilled lamb skewers,31.0
2025-05-26,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-05-26,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-05-26,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-05-26,Garlic flavor - Jiangtuan,3.0
2025-05-26,Garlic flavor - Sea bass,4.0
2025-05-26,Garlic flavor - Qian fish,11.0
2025-05-26,Pickled mustard greens flavor - Sea bass,1.0
2025-05-26,Pickled mustard greens flavor - Qian fish,9.0
2025-05-26,Green pepper flavor - Jiangtuan,4.0
2025-05-26,Green pepper flavor - Sea bass,5.0
2025-05-26,Green pepper flavor - Qian fish,17.0
2025-05-26,Mala flavor - Jiangtuan,11.0
2025-05-26,Mala flavor - Sea bass,12.0
2025-05-26,Mala flavor - Qian fish,30.0
2025-05-27,Chicken knee cartilage,42.0
2025-05-27,Grilled lamb skewers,32.0
2025-05-27,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-05-27,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-05-27,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-05-27,Garlic flavor - Jiangtuan,3.0
2025-05-27,Garlic flavor - Sea bass,4.0
2025-05-27,Garlic flavor - Qian fish,14.0
2025-05-27,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-27,Pickled mustard greens flavor - Sea bass,2.0
2025-05-27,Pickled mustard greens flavor - Qian fish,8.0
2025-05-27,Green pepper flavor - Jiangtuan,4.0
2025-05-27,Green pepper flavor - Sea bass,5.0
2025-05-27,Green pepper flavor - Qian fish,10.0
2025-05-27,Mala flavor - Jiangtuan,16.0
2025-05-27,Mala flavor - Sea bass,17.0
2025-05-27,Mala flavor - Qian fish,32.0
2025-05-28,Chicken knee cartilage,43.0
2025-05-28,Grilled lamb skewers,62.0
2025-05-28,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-05-28,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-05-28,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-05-28,Garlic flavor - Jiangtuan,3.0
2025-05-28,Garlic flavor - Sea bass,5.0
2025-05-28,Garlic flavor - Qian fish,18.0
2025-05-28,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-28,Pickled mustard greens flavor - Sea bass,3.0
2025-05-28,Pickled mustard greens flavor - Qian fish,8.0
2025-05-28,Green pepper flavor - Jiangtuan,7.0
2025-05-28,Green pepper flavor - Sea bass,10.0
2025-05-28,Green pepper flavor - Qian fish,20.0
2025-05-28,Mala flavor - Jiangtuan,16.0
2025-05-28,Mala flavor - Sea bass,18.0
2025-05-28,Mala flavor - Qian fish,43.0
2025-05-29,Chicken knee cartilage,48.0
2025-05-29,Grilled lamb skewers,88.0
2025-05-29,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-05-29,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-05-29,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-05-29,Garlic flavor - Jiangtuan,4.0
2025-05-29,Garlic flavor - Sea bass,4.0
2025-05-29,Garlic flavor - Qian fish,21.0
2025-05-29,Pickled mustard greens flavor - Jiangtuan,2.0
2025-05-29,Pickled mustard greens flavor - Sea bass,2.0
2025-05-29,Pickled mustard greens flavor - Qian fish,11.0
2025-05-29,Green pepper flavor - Jiangtuan,5.0
2025-05-29,Green pepper flavor - Sea bass,5.0
2025-05-29,Green pepper flavor - Qian fish,15.0
2025-05-29,Mala flavor - Jiangtuan,18.0
2025-05-29,Mala flavor - Sea bass,19.0
2025-05-29,Mala flavor - Qian fish,44.0
2025-05-30,Chicken knee cartilage,61.0
2025-05-30,Grilled lamb skewers,49.0
2025-05-30,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-05-30,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-05-30,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-05-30,Garlic flavor - Jiangtuan,6.0
2025-05-30,Garlic flavor - Sea bass,7.0
2025-05-30,Garlic flavor - Qian fish,27.0
2025-05-30,Pickled mustard greens flavor - Jiangtuan,3.0
2025-05-30,Pickled mustard greens flavor - Sea bass,4.0
2025-05-30,Pickled mustard greens flavor - Qian fish,15.0
2025-05-30,Green pepper flavor - Jiangtuan,8.0
2025-05-30,Green pepper flavor - Sea bass,9.0
2025-05-30,Green pepper flavor - Qian fish,19.0
2025-05-30,Mala flavor - Jiangtuan,23.0
2025-05-30,Mala flavor - Sea bass,24.0
