date,dish_name,wastage_qty
2025-05-11 11:45:00,Frozen Lamb Skewers (Steel Skewer),2.0
2025-05-11 11:45:00,Chicken Cartilage Skewers (UOM: Skewer),69.0
2025-05-11 11:45:00,Green Bird's Eye Chili (Stemless),3.0
2025-05-11 11:45:00,Channel Catfish,8.0
2025-05-11 11:45:00,Chicken Cartilage Skewers (UOM: Skewer),21.0
2025-05-11 11:45:00,Red Finger Chili (Cleaned),2.0
2025-05-11 11:45:00,Garlic Sprouts (Cleaned),1.0
2025-05-11 11:45:00,Catfish(Dual UOM),76.0
2025-05-11 11:45:00,Channel Catfish,55.0
2025-05-11 11:45:00,Erjingtiao Chili (Cleaned/Stemless),3.2
2025-05-11 11:45:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,15.0
2025-05-11 11:45:00,Chinese Leek Sections,3.0
2025-05-11 11:45:00,Grilled Fish Base - Green Pepper (Kaojiang),17.0
2025-05-11 11:45:00,Grilled Fish Base - Garlic Flavor (Kaojiang),52.0
2025-05-11 11:45:00,Pearl Garlic(Dia. 2.5cm),1.0
2025-05-11 11:45:00,Grilled Fish Base - Spicy Mala (Kaojiang),138.0
2025-05-11 11:45:00,Grilled Fish Red Oil (Kaojiang),4.0
2025-05-11 11:45:00,Mixed Chili Shreds (5kg/Bag),10.01
2025-05-11 11:45:00,Sea Bass,48.0
2025-05-11 11:45:00,Catfish(Dual UOM),25.0
2025-05-11 11:45:00,Black Beans (New Crop),61.0
2025-05-11 11:45:00,Longsnout Catfish (Dual UOM),27.0
2025-05-11 11:45:00,Longsnout Catfish (Dual UOM),2.0
2025-05-11 11:45:00,Cumin Powder,1.6
2025-05-11 11:45:00,Sea Bass,33.0
2025-05-11 11:45:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.9
2025-05-12 17:50:00,Garlic Sprouts (Cleaned),0.73
2025-05-12 17:50:00,Frozen Lamb Skewers (Steel Skewer),0.53
2025-05-12 17:50:00,Chinese Leek Sections,0.71
2025-05-12 17:50:00,Longsnout Catfish (Dual UOM),15.0
2025-05-12 17:50:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.29
2025-05-12 17:50:00,Red Finger Chili (Cleaned),0.56
2025-05-12 17:50:00,Sea Bass,3.0
2025-05-12 17:50:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.8
2025-05-12 17:50:00,Grilled Fish Base - Garlic Flavor (Kaojiang),1.0
2025-05-12 17:50:00,Grilled Fish Base - Green Pepper (Kaojiang),8.0
2025-05-12 17:50:00,Chicken Cartilage Skewers (UOM: Skewer),5.0
2025-05-12 17:50:00,Catfish(Dual UOM),65.0
2025-05-12 17:50:00,Grilled Fish Base - Spicy Mala (Kaojiang),4.95
2025-05-13 12:44:00,Channel Catfish,11.0
2025-05-13 12:44:00,Grilled Fish Base - Spicy Mala (Kaojiang),0.25
2025-05-13 12:44:00,Grilled Fish Base - Green Pepper (Kaojiang),1.33
2025-05-13 12:44:00,Erjingtiao Chili (Cleaned/Stemless),2.96
2025-05-13 12:44:00,Catfish(Dual UOM),1.0
2025-05-13 12:44:00,Green Bird's Eye Chili (Stemless),4.03
2025-05-13 12:44:00,Sea Bass,1.0
2025-05-13 12:44:00,Red Finger Chili (Cleaned),0.67
2025-05-13 12:44:00,Cumin Powder,0.4
2025-05-13 12:44:00,Frozen Lamb Skewers (Steel Skewer),0.43
2025-05-13 12:44:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,2.16
2025-05-13 12:44:00,Longsnout Catfish (Dual UOM),2.0
2025-05-13 12:44:00,Garlic Sprouts (Cleaned),0.6
2025-05-13 12:44:00,Black Beans (New Crop),3.17
2025-05-13 12:44:00,Chicken Cartilage Skewers (UOM: Skewer),4.0
2025-05-13 12:44:00,Chinese Leek Sections,0.51
2025-05-14 22:15:00,Grilled Fish Base - Green Pepper (Kaojiang),0.33
2025-05-14 22:15:00,Channel Catfish,10.0
2025-05-14 22:15:00,Grilled Fish Base - Garlic Flavor (Kaojiang),11.66
2025-05-14 22:15:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,1.48
2025-05-14 22:15:00,Catfish(Dual UOM),15.0
2025-05-14 22:15:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.1
2025-05-14 22:15:00,Pearl Garlic(Dia. 2.5cm),3.28
2025-05-14 22:15:00,Channel Catfish,1.0
2025-05-14 22:15:00,Channel Catfish,1.0
2025-05-14 22:15:00,Garlic Sprouts (Cleaned),0.91
2025-05-14 22:15:00,Red Bird's Eye Chili (Stemless),0.8
2025-05-14 22:15:00,Red Finger Chili (Cleaned),0.82
2025-05-14 22:15:00,Channel Catfish,3.0
2025-05-14 22:15:00,Chinese Leek Sections,0.12
2025-05-14 22:15:00,Longsnout Catfish (Dual UOM),1.0
2025-05-16 09:17:00,Red Finger Chili (Cleaned),0.58
2025-05-16 09:17:00,Sea Bass,9.0
2025-05-16 09:17:00,Chinese Leek Sections,0.71
2025-05-16 09:17:00,Small Channel Catfish,8.5
2025-05-16 09:17:00,Channel Catfish,8.5
2025-05-16 09:17:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.23
2025-05-16 09:17:00,Black Beans (New Crop),2.7
2025-05-16 09:17:00,Chicken Cartilage Skewers (UOM: Skewer),10.0
2025-05-16 09:17:00,Erjingtiao Chili (Cleaned/Stemless),1.25
2025-05-16 09:17:00,Longsnout Catfish (Dual UOM),3.0
2025-05-16 09:17:00,Mixed Chili Shreds (5kg/Bag),9.53
2025-05-16 09:17:00,Red Bird's Eye Chili (Stemless),0.2
2025-05-16 09:17:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,2.33
2025-05-16 09:17:00,Green Bird's Eye Chili (Stemless),0.74
2025-05-16 09:17:00,Garlic Sprouts (Cleaned),0.23
2025-05-17 21:04:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.11
2025-05-17 21:04:00,Chicken Cartilage Skewers (UOM: Skewer),52.0
2025-05-17 21:04:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,1.06
2025-05-17 21:04:00,Grilled Fish Red Oil (Kaojiang),0.74
2025-05-17 21:04:00,Catfish(Dual UOM),47.0
2025-05-17 21:04:00,Frozen Lamb Skewers (Steel Skewer),0.85
2025-05-17 21:04:00,Small Channel Catfish,10.0
2025-05-17 21:04:00,Channel Catfish,10.0
2025-05-17 21:04:00,Pearl Garlic(Dia. 2.5cm),3.33
2025-05-17 21:04:00,Red Finger Chili (Cleaned),0.01
2025-05-17 21:04:00,Green Bird's Eye Chili (Stemless),4.73
2025-05-17 21:04:00,Grilled Fish Base - Garlic Flavor (Kaojiang),4.99
2025-05-17 21:04:00,Black Beans (New Crop),4.46
2025-05-17 21:04:00,Grilled Fish Base - Spicy Mala (Kaojiang),17.99
2025-05-17 21:04:00,Garlic Sprouts (Cleaned),0.43
2025-05-17 21:04:00,Grilled Fish Base - Green Pepper (Kaojiang),25.66
2025-05-17 21:04:00,Longsnout Catfish (Dual UOM),18.0
2025-05-18 11:01:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,1.42
2025-05-18 11:01:00,Red Finger Chili (Cleaned),0.18
2025-05-18 11:01:00,Chinese Leek Sections,2.13
2025-05-18 11:01:00,Longsnout Catfish (Dual UOM),1.0
2025-05-18 11:01:00,Mixed Chili Shreds (5kg/Bag),28.2
2025-05-18 11:01:00,Channel Catfish,75.0
2025-05-19 20:08:00,Frozen Lamb Skewers (Steel Skewer),0.45
2025-05-19 20:08:00,Catfish(Dual UOM),57.0
2025-05-19 20:08:00,Channel Catfish,2.0
2025-05-19 20:08:00,Grilled Fish Base - Garlic Flavor (Kaojiang),1.0
2025-05-19 20:08:00,Erjingtiao Chili (Cleaned/Stemless),1.0
2025-05-19 20:08:00,Chinese Leek Sections,0.79
2025-05-19 20:08:00,Grilled Fish Base - Green Pepper (Kaojiang),2.0
2025-05-19 20:08:00,Black Beans (New Crop),16.4
2025-05-19 20:08:00,Green Bird's Eye Chili (Stemless),1.1
2025-05-19 20:08:00,Channel Catfish,12.0
2025-05-19 20:08:00,Frozen Lamb Skewers (Steel Skewer),0.28
2025-05-19 20:08:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.92
2025-05-19 20:08:00,Chicken Cartilage Skewers (UOM: Skewer),4.0
2025-05-19 20:08:00,Pearl Garlic(Dia. 2.5cm),4.83
2025-05-19 20:08:00,Small Channel Catfish,2.0
2025-05-19 20:08:00,Longsnout Catfish (Dual UOM),23.0
2025-05-19 20:08:00,Cumin Powder,0.14
2025-05-20 13:51:00,Longsnout Catfish (Dual UOM),1.0
2025-05-20 13:51:00,Grilled Fish Red Oil (Kaojiang),0.13
2025-05-20 13:51:00,Garlic Sprouts (Cleaned),1.55
2025-05-20 13:51:00,Catfish(Dual UOM),2.0
2025-05-20 13:51:00,Grilled Fish Base - Green Pepper (Kaojiang),0.16
2025-05-20 13:51:00,Green Bird's Eye Chili (Stemless),3.02
2025-05-20 13:51:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,1.35
2025-05-20 13:51:00,Frozen Lamb Skewers (Steel Skewer),0.03
2025-05-20 13:51:00,Chicken Cartilage Skewers (UOM: Skewer),37.0
2025-05-20 13:51:00,Grilled Fish Base - Spicy Mala (Kaojiang),9.63
2025-05-20 13:51:00,Grilled Fish Base - Garlic Flavor (Kaojiang),0.33
2025-05-20 13:51:00,Red Finger Chili (Cleaned),0.3
2025-05-20 13:51:00,Channel Catfish,67.0
2025-05-20 13:51:00,Mixed Chili Shreds (5kg/Bag),12.07
2025-05-20 13:51:00,Black Beans (New Crop),2.04
2025-05-20 13:51:00,Sea Bass,1.0
2025-05-21 20:46:00,Pearl Garlic(Dia. 2.5cm),1.33
2025-05-21 20:46:00,Longsnout Catfish (Dual UOM),9.0
2025-05-21 20:46:00,Channel Catfish,53.0
2025-05-21 20:46:00,Channel Catfish,0.5
2025-05-21 20:46:00,Frozen Lamb Skewers (Steel Skewer),1.1
2025-05-21 20:46:00,Channel Catfish,17.0
2025-05-21 20:46:00,Channel Catfish,3.0
2025-05-21 20:46:00,Erjingtiao Chili (Cleaned/Stemless),0.3
2025-05-21 20:46:00,Grilled Fish Base - Green Pepper (Kaojiang),1.33
2025-05-21 20:46:00,Black Beans (New Crop),7.07
2025-05-21 20:46:00,Small Channel Catfish,0.5
2025-05-21 20:46:00,Catfish(Dual UOM),40.0
2025-05-21 20:46:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.82
2025-05-21 20:46:00,Red Bird's Eye Chili (Stemless),0.2
2025-05-21 20:46:00,Sea Bass,5.0
2025-05-22 09:36:00,Green Bird's Eye Chili (Stemless),0.11
2025-05-22 09:36:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,1.13
2025-05-22 09:36:00,Frozen Lamb Skewers (Steel Skewer),1.08
2025-05-22 09:36:00,Channel Catfish,1.5
2025-05-22 09:36:00,Chinese Leek Sections,1.86
2025-05-22 09:36:00,Small Channel Catfish,1.5
2025-05-22 09:36:00,Pearl Garlic(Dia. 2.5cm),2.84
2025-05-22 09:36:00,Red Bird's Eye Chili (Stemless),1.8
2025-05-22 09:36:00,Mixed Chili Shreds (5kg/Bag),5.96
2025-05-22 09:36:00,Chicken Cartilage Skewers (UOM: Skewer),3.0
2025-05-22 09:36:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.28
2025-05-22 09:36:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,1.69
2025-05-22 09:36:00,Channel Catfish,56.0
2025-05-22 09:36:00,Grilled Fish Base - Spicy Mala (Kaojiang),2.0
2025-05-22 09:36:00,Erjingtiao Chili (Cleaned/Stemless),0.01
2025-05-22 09:36:00,Red Finger Chili (Cleaned),0.41
2025-05-22 09:36:00,Garlic Sprouts (Cleaned),0.69
2025-05-23 10:39:00,Mixed Chili Shreds (5kg/Bag),6.39
2025-05-23 10:39:00,Small Channel Catfish,0.5
2025-05-23 10:39:00,Erjingtiao Chili (Cleaned/Stemless),0.67
2025-05-23 10:39:00,Channel Catfish,0.5
2025-05-23 10:39:00,Green Bird's Eye Chili (Stemless),2.18
2025-05-23 10:39:00,Black Beans (New Crop),7.87
2025-05-23 10:39:00,Red Finger Chili (Cleaned),0.34
2025-05-23 10:39:00,Grilled Fish Base - Garlic Flavor (Kaojiang),55.33
2025-05-23 10:39:00,Chinese Leek Sections,0.76
2025-05-23 10:39:00,Grilled Fish Base - Green Pepper (Kaojiang),10.5
2025-05-23 10:39:00,Grilled Fish Red Oil (Kaojiang),0.37
2025-05-23 10:39:00,Grilled Fish Base - Spicy Mala (Kaojiang),14.35
2025-05-23 10:39:00,Garlic Sprouts (Cleaned),0.51
2025-05-23 10:39:00,Cumin Powder,0.33
2025-05-25 11:42:00,Erjingtiao Chili (Cleaned/Stemless),2.12
2025-05-25 11:42:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,1.14
2025-05-25 11:42:00,Channel Catfish,8.0
2025-05-25 11:42:00,Sea Bass,4.0
2025-05-25 11:42:00,Black Beans (New Crop),7.29
2025-05-25 11:42:00,Sea Bass,12.0
2025-05-25 11:42:00,Catfish(Dual UOM),25.0
2025-05-25 11:42:00,Frozen Lamb Skewers (Steel Skewer),1.7
2025-05-25 11:42:00,Green Bird's Eye Chili (Stemless),5.89
2025-05-25 23:34:00,Catfish(Dual UOM),99.0
2025-05-25 23:34:00,Sea Bass,12.0
2025-05-25 23:34:00,Longsnout Catfish (Dual UOM),11.0
2025-05-25 23:34:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,6.05
2025-05-25 23:34:00,Small Channel Catfish,2.0
2025-05-25 23:34:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.26
2025-05-25 23:34:00,Channel Catfish,1.0
2025-05-25 23:34:00,Chinese Leek Sections,1.8
2025-05-25 23:34:00,Grilled Fish Base - Green Pepper (Kaojiang),2.0
2025-05-25 23:34:00,Mixed Chili Shreds (5kg/Bag),15.29
2025-05-25 23:34:00,Channel Catfish,2.0
2025-05-25 23:34:00,Garlic Sprouts (Cleaned),0.4
2025-05-27 20:39:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,1.27
2025-05-27 20:39:00,Black Beans (New Crop),1.46
2025-05-27 20:39:00,Red Finger Chili (Cleaned),0.47
2025-05-27 20:39:00,Chinese Leek Sections,0.88
2025-05-27 20:39:00,Longsnout Catfish (Dual UOM),2.0
2025-05-27 20:39:00,Garlic Sprouts (Cleaned),0.71
2025-05-27 20:39:00,Erjingtiao Chili (Cleaned/Stemless),1.81
2025-05-27 20:39:00,Cumin Powder,0.25
2025-05-27 20:39:00,Catfish(Dual UOM),9.0
2025-05-27 20:39:00,Pearl Garlic(Dia. 2.5cm),1.76
2025-05-27 20:39:00,Grilled Fish Base - Garlic Flavor (Kaojiang),0.33
2025-05-27 20:39:00,Grilled Fish Base - Spicy Mala (Kaojiang),2.16
2025-05-27 20:39:00,Grilled Fish Base - Green Pepper (Kaojiang),42.33
2025-05-27 20:39:00,Channel Catfish,1.5
2025-05-27 20:39:00,Chicken Cartilage Skewers (UOM: Skewer),20.0
2025-05-27 20:39:00,Small Channel Catfish,1.5
2025-05-27 20:39:00,Mixed Chili Shreds (5kg/Bag),3.3
2025-05-28 00:19:00,Erjingtiao Chili (Cleaned/Stemless),1.71
2025-05-28 00:19:00,Grilled Fish Base - Spicy Mala (Kaojiang),0.53
2025-05-28 00:19:00,Chicken Cartilage Skewers (UOM: Skewer),3.0
2025-05-28 00:19:00,Garlic Sprouts (Cleaned),0.44
2025-05-28 00:19:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,2.34
2025-05-28 00:19:00,Red Finger Chili (Cleaned),0.29
2025-05-28 00:19:00,Green Bird's Eye Chili (Stemless),8.29
2025-05-28 00:19:00,Black Beans (New Crop),3.64
2025-05-28 00:19:00,Pearl Garlic(Dia. 2.5cm),1.13
2025-05-28 00:19:00,Channel Catfish,1.0
2025-05-28 00:19:00,Grilled Fish Red Oil (Kaojiang),0.44
2025-05-28 00:19:00,Frozen Lamb Skewers (Steel Skewer),0.2
2025-05-28 00:19:00,Chinese Leek Sections,0.26
2025-05-28 00:19:00,Small Channel Catfish,1.0
2025-05-28 00:19:00,Catfish(Dual UOM),2.0
2025-05-30 13:38:00,Sea Bass,4.0
2025-05-30 13:38:00,Frozen Lamb Skewers (Steel Skewer),0.25
2025-05-30 13:38:00,Sea Bass,10.0
2025-05-30 13:38:00,Sea Bass,9.0
2025-05-30 13:38:00,Grilled Fish Base - Garlic Flavor (Kaojiang),0.66
2025-05-30 13:38:00,Catfish(Dual UOM),9.0
2025-05-30 13:38:00,Pearl Garlic(Dia. 2.5cm),3.61
2025-05-30 13:38:00,Chinese Leek Sections,0.55
2025-05-30 13:38:00,Grilled Fish Red Oil (Kaojiang),0.88
2025-05-30 13:38:00,Longsnout Catfish (Dual UOM),6.0
2025-05-30 13:38:00,Channel Catfish,14.0
2025-05-30 13:38:00,Mixed Chili Shreds (5kg/Bag),1.99
2025-05-30 13:38:00,Sea Bass,6.0
2025-05-30 13:38:00,Catfish(Dual UOM),31.0
2025-05-30 13:38:00,Red Finger Chili (Cleaned),0.02
2025-05-30 13:38:00,Garlic Sprouts (Cleaned),0.74
2025-05-30 13:38:00,Small Channel Catfish,14.0
2025-05-30 13:38:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.1
2025-05-30 13:38:00,Cumin Powder,0.85
2025-05-31 09:14:00,Channel Catfish,0.5
2025-05-31 09:14:00,Black Beans (New Crop),0.79
2025-05-31 09:14:00,Small Channel Catfish,0.5
2025-05-31 09:14:00,Frozen Lamb Skewers (Steel Skewer),0.78
2025-05-31 09:14:00,Chinese Leek Sections,0.08
2025-05-31 09:14:00,Mixed Chili Shreds (5kg/Bag),3.67
2025-05-31 09:14:00,Channel Catfish,2.0
2025-05-31 09:14:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.22
2025-05-31 09:14:00,Chicken Cartilage Skewers (UOM: Skewer),19.0
2025-06-01 00:11:00,Grilled Fish Red Oil (Kaojiang),4.99
2025-06-01 00:11:00,Chinese Leek Sections,1.52
2025-06-01 00:11:00,Red Finger Chili (Cleaned),0.78
2025-06-01 00:11:00,Catfish(Dual UOM),91.0
2025-06-01 00:11:00,Garlic Sprouts (Cleaned),0.13
2025-06-01 00:11:00,Aromatic Pepper Oil (Caihesheng) Spec: 720ml x 12 Btls/Case,23.5
2025-06-01 00:11:00,Grilled Fish Base - Green Pepper (Kaojiang),98.0
2025-06-01 00:11:00,Green Sichuan Pepper Oil (5L x 2 Btls),0.55
2025-06-01 00:11:00,Green Bird's Eye Chili (Stemless),1.04
2025-06-01 00:11:00,Longsnout Catfish (Dual UOM),20.0
2025-06-01 00:11:00,Pure Lard (15kg/Case),0.22
2025-06-01 00:11:00,Channel Catfish,10.0
2025-06-01 00:11:00,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",20.75
2025-06-01 00:11:00,"Pickled Mustard Stems (Diced, No Leaf)",16.04
2025-06-01 00:11:00,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,0.76
2025-06-02 21:23:00,Chicken Cartilage Skewers (UOM: Skewer),35.0
2025-06-02 21:23:00,Pearl Garlic(Dia. 2.5cm),0.83
2025-06-02 21:23:00,Chicken Cartilage Skewers (UOM: Skewer),200.0
2025-06-02 21:23:00,Red Bird's Eye Chili (Stemless),1.0
2025-06-02 21:23:00,Chinese Leek Sections,1.24
2025-06-02 21:23:00,Frozen Lamb Skewers (Steel Skewer),10.0
2025-06-02 21:23:00,Green Bird's Eye Chili (Stemless),1.11
2025-06-02 21:23:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,3.1
2025-06-02 21:23:00,Black Beans (New Crop),4.48
2025-06-02 21:23:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2.42
