ds,rain_mm,avg_temp_c,avg_humidity_pct
2025/7/15,0,30.65,70.88
2025/7/16,0,32.84,64.38
2025/7/17,0.5,34.1,54
2025/7/18,3.9,31.07,67.33
2025/7/19,34.3,27.69,84.54
2025/7/20,2.9,27.83,80.62
2025/7/21,0,28.55,71.54
2025/7/22,2.1,27.9,81.67
2025/7/23,35.1,26.96,85.5
2025/7/24,16.2,26.33,88.17
2025/7/25,44.5,25.39,92.25
2025/7/26,19.9,26.47,86.71
2025/7/27,0.3,27.77,84.79
2025/7/28,0.1,29.08,80.12
2025/7/29,0,29.89,76.54
2025/7/30,1.1,29.42,79.12
2025/7/31,0,30.15,73.58
2025/8/1,0,31.66,62.46
2025/8/2,0,33.18,55.88
2025/8/3,0,34.42,47.42
2025/8/4,3.7,34.05,49.25
2025/8/5,1.9,32.65,61.75
2025/8/6,14.6,28.63,81
2025/8/7,12.8,27.95,87.71
2025/8/8,16.5,28.4,84.71
2025/8/9,37.5,27.34,88.17
2025/8/10,20.4,26.01,91.54
2025/8/11,0.9,26.94,80.75
2025/8/12,1,27.01,82
2025/8/13,0,28.17,78.17
2025/8/14,1.7,27.71,80.88
2025/8/15,5.6,28.23,76.88
2025/8/16,7.6,25.46,86.25
2025/8/17,7.1,25.9,84.46
2025/8/18,5.9,26.27,84.62
2025/8/19,7.4,26.34,83.5
2025/8/20,0.3,27.96,76.79
2025/8/21,16.9,27.01,78.96
2025/8/22,1.3,26.23,77.58
2025/8/23,13.4,25.83,85.62
2025/8/24,11.7,25.63,86.54
2025/8/25,28.9,24.93,92.54
2025/8/26,8.7,25.91,87.71
2025/8/27,6.9,25.39,87.29
2025/8/28,60.3,23.15,85.92
2025/8/29,15.8,20.96,86.62
2025/8/30,3.1,21.19,85.88
2025/8/31,0,22.3,83.21
2025/9/1,1.3,23.8,84
2025/9/2,0.7,24.73,83.54
2025/9/3,0,25.76,71.79
2025/9/4,0.7,26.52,77.33
2025/9/5,29.3,23.6,87.83
2025/9/6,0.4,22.95,77.88
2025/9/7,0.3,24.12,79.12
2025/9/8,0.9,24.78,81.54
2025/9/9,1.6,24.66,81.92
2025/9/10,6.3,24.32,88.25
2025/9/11,13.6,23.8,91.17
2025/9/12,3,24.06,87.46
2025/9/13,2.7,25.23,87.33
2025/9/14,0.1,26.62,81.83
2025/9/15,2.8,25.98,84.96
2025/9/16,39,23.15,92.58
2025/9/17,11,24.01,84.25
2025/9/18,0.7,22.19,76.71
2025/9/19,0.8,21.49,78.33
2025/9/20,1.4,22.79,80.54
2025/9/21,2.8,21.09,86.88
2025/9/22,8.8,19.77,83.96
2025/9/23,8.6,21.42,82.38
2025/9/24,0,21.77,79.42
2025/9/25,0.2,22.4,79.71
2025/9/26,2.6,22.45,84.83
2025/9/27,5.3,22.7,87.75
2025/9/28,0.3,22.28,82.71
2025/9/29,0.1,22.14,78.79
2025/9/30,0.3,22.39,79.62
2025/10/1,0,22.26,82.5
2025/10/2,0,23.15,79
2025/10/3,0,23.3,78.71
2025/10/4,0.1,23.17,80.08
2025/10/5,0.6,21.57,83.29
2025/10/6,3.9,20.35,83.21
2025/10/7,0.8,21.46,86.08
2025/10/8,3.2,23.19,88.08
2025/10/9,5.5,24.01,86.67
2025/10/10,1.3,24.25,85.67
2025/10/11,3.4,20.27,80.42
2025/10/12,1.1,19.19,80.04
2025/10/13,0.1,19.47,79.46
2025/10/14,0,20.28,81.33
2025/10/15,1.5,21.47,78.92
2025/10/16,0.4,20.88,83.5
2025/10/17,0.1,19.48,73.54
2025/10/18,1,19.08,70.67
2025/10/19,0.2,18.01,79.5
2025/10/20,4.1,15.28,86.46
2025/10/21,0.2,14.85,79.79
2025/10/22,2,14.62,87.5
2025/10/23,10.2,13.95,96
2025/10/24,3.5,13.42,91.58
2025/10/25,0.6,14.47,82.33
2025/10/26,2.4,15.24,81.5
2025/10/27,0.8,15.04,85.21
2025/10/28,0.2,15.84,85.12
2025/10/29,3.2,15.24,90.33
2025/10/30,0.1,15.88,86.62
2025/10/31,7.2,15.03,92.46
2025/11/1,3.4,14.13,93.17
2025/11/2,2,14.4,89.71
2025/11/3,4.7,14.37,92.67
2025/11/4,2,14.5,88.25
2025/11/5,1.8,14.73,89.92
2025/11/6,0.4,15.07,88.62
2025/11/7,0.3,15.79,83.88
2025/11/8,0,16.68,77.58
2025/11/9,0.4,16.17,77.62
2025/11/10,0,13.93,81.62
2025/11/11,0.1,14.24,80.54
2025/11/12,2.3,14.32,88.5
2025/11/13,0.6,15.08,81.25
2025/11/14,0.5,14.31,85.17
2025/11/15,0,15.03,77.88
2025/11/16,0.9,14.25,87.04
2025/11/17,1,12.07,56.33
2025/11/18,0,8.9,47.08
2025/11/19,0,8.83,56.75
2025/11/20,0,8.86,71.12
2025/11/21,0,10.33,69.04
2025/11/22,0,10.99,73.71
2025/11/23,0,11.71,72.92
2025/11/24,0,10.07,74.42
2025/11/25,0,9.52,80.04
2025/11/26,0.8,9.8,85.42
2025/11/27,0,9.16,88.17
2025/11/28,0,9.35,88.71
2025/11/29,0,10.52,86.38
2025/11/30,0,11.1,81.88
2025/12/1,0,11.03,81.62
2025/12/2,0,11.63,70.04
2025/12/3,0,10.17,65.5
2025/12/4,0,8.4,78.21
2025/12/5,1,8.23,83.54
2025/12/6,0.1,7.85,87.88
2025/12/7,0,10.51,76.54
2025/12/8,0,9.13,89.29
2025/12/9,0,10.4,86.67
2025/12/10,0,11.05,82
2025/12/11,0.3,10.35,90.29
2025/12/12,0,11.37,71.17
2025/12/13,0,7.12,46.17
2025/12/14,0,7.21,67.25
2025/12/15,0,6.87,79.54
2025/12/16,0.3,7.78,81.17
2025/12/17,0,8.28,84.29
2025/12/18,0.1,8.82,87.42
2025/12/19,0,9.9,84.54
2025/12/20,0,9.67,67.67
2025/12/21,0,8.8,71.75
2025/12/22,0,8.92,79.92
2025/12/23,0,10.44,68.21
2025/12/24,0,8.72,71.71
2025/12/25,0,8.59,73.38
2025/12/26,0,8.89,75.67
2025/12/27,0,8.81,84.12
2025/12/28,1.4,8.99,88.42
2025/12/29,1.4,10.3,81.25
2025/12/30,1.1,8.65,91.58
2025/12/31,2.7,9.31,84.62
